title,theme,year,shp_zip,geojson,csv,kml,rest,landing
Puntos criticos 2019,Puntos criticos,2019,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/c74a1a09bf6f4344b9066c5a79b84520/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/c74a1a09bf6f4344b9066c5a79b84520/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/c74a1a09bf6f4344b9066c5a79b84520/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/c74a1a09bf6f4344b9066c5a79b84520/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2019/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/c74a1a09bf6f4344b9066c5a79b84520_0
Puntos criticos 2018,Puntos criticos,2018,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/149bf35e00b247a8953d4496ca30ad48/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/149bf35e00b247a8953d4496ca30ad48/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/149bf35e00b247a8953d4496ca30ad48/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/149bf35e00b247a8953d4496ca30ad48/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2018/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/149bf35e00b247a8953d4496ca30ad48_0
Puntos criticos 2017,Puntos criticos,2017,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/edcd512f6b6147288ec5e12944709422/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/edcd512f6b6147288ec5e12944709422/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/edcd512f6b6147288ec5e12944709422/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/edcd512f6b6147288ec5e12944709422/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2017/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/edcd512f6b6147288ec5e12944709422_0
Puntos criticos 2016,Puntos criticos,2016,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4dcc051c06d74e1cb65feb8b609fb3ed/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4dcc051c06d74e1cb65feb8b609fb3ed/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4dcc051c06d74e1cb65feb8b609fb3ed/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4dcc051c06d74e1cb65feb8b609fb3ed/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2016/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/4dcc051c06d74e1cb65feb8b609fb3ed_0
Puntos criticos 2014,Puntos criticos,2014,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/e31ddc6e6ecb4131adc737ba65d30f97/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/e31ddc6e6ecb4131adc737ba65d30f97/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/e31ddc6e6ecb4131adc737ba65d30f97/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/e31ddc6e6ecb4131adc737ba65d30f97/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2014/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/e31ddc6e6ecb4131adc737ba65d30f97_0
Puntos criticos 2015,Puntos criticos,2015,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4d0df572ef5a4244afbb384121af4135/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4d0df572ef5a4244afbb384121af4135/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4d0df572ef5a4244afbb384121af4135/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4d0df572ef5a4244afbb384121af4135/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2015/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/4d0df572ef5a4244afbb384121af4135_0
Atropellos 2018,Atropellos,2018,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/e3fb8876d7b545d6bc801f2a8c2f559b/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/e3fb8876d7b545d6bc801f2a8c2f559b/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/e3fb8876d7b545d6bc801f2a8c2f559b/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/e3fb8876d7b545d6bc801f2a8c2f559b/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2018/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/e3fb8876d7b545d6bc801f2a8c2f559b_0
Atropellos 2017,Atropellos,2017,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/75cf0e80dc33444f9cdf22295b4b03b5/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/75cf0e80dc33444f9cdf22295b4b03b5/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/75cf0e80dc33444f9cdf22295b4b03b5/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/75cf0e80dc33444f9cdf22295b4b03b5/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2017/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/75cf0e80dc33444f9cdf22295b4b03b5_0
Atropellos 2019,Atropellos,2019,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/ff547d65abf84e1b8c06473622b7f0ce/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/ff547d65abf84e1b8c06473622b7f0ce/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/ff547d65abf84e1b8c06473622b7f0ce/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/ff547d65abf84e1b8c06473622b7f0ce/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2019/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/ff547d65abf84e1b8c06473622b7f0ce_0
Atropellos 2016,Atropellos,2016,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/c9c30df7d8444eb19a7cdc511176c7a0/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/c9c30df7d8444eb19a7cdc511176c7a0/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/c9c30df7d8444eb19a7cdc511176c7a0/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/c9c30df7d8444eb19a7cdc511176c7a0/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2016/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/c9c30df7d8444eb19a7cdc511176c7a0_0
